658.599,6.732,0.587,4.544,12.721,1.398,0.810,1.331,2.737,14.411,1.173,1.522,0.243,3.905,1.070,0.494,4.491,1.142,45.328,77.881,319.111,1.521,0.407,1.657,7.027
47.690,1.043,0.329,4.917,3.636,2.117,6.391,0.410,0.616,3.756,0.967,21.052,0.367,0.327,0.744,0.498,3.257,0.152,6.272,8.325,4.513,0.795,0.898,0.605,90.306
20.678,1.706,0.463,4.507,8.094,0.626,13.171,1.331,0.680,8.133,0.908,6.965,0.586,0.254,1.968,1.059,2.108,1.514,8.985,6.167,10.532,1.000,0.210,0.844,18.115
457.117,1.212,6.556,1.230,6.038,1.638,0.965,0.545,0.231,4.536,10.039,5.888,0.350,12.914,1.282,2.411,41.508,2.911,6.207,12.141,100.513,0.881,-0.789,0.811,10.549
292.580,2.614,2.438,4.019,9.522,3.974,23.374,0.930,0.373,15.115,5.481,41.374,3.734,4.546,2.966,4.300,6.305,4.516,20.791,50.345,16.621,21.377,71.531,1.020,79.141
381.856,3.119,0.800,2.882,10.862,0.657,7.316,1.099,1.772,16.049,3.153,139.141,0.775,2.084,1.345,1.128,4.047,1.447,15.225,31.660,12.745,10.176,28.459,1.363,67.879
108.372,0.761,0.301,19.248,16.875,4.523,7.855,2.070,3.175,21.768,3.239,20.765,2.848,0.339,1.419,1.413,5.024,-0.267,27.633,4.242,2.953,5.079,28.717,0.322,129.583
23.068,3.678,0.423,17.097,28.136,3.435,8.452,1.421,4.280,22.042,0.778,5.494,0.387,0.254,0.290,0.422,4.316,0.000,12.667,4.376,7.370,0.615,-1.242,3.312,66.249
70.939,8.442,0.250,1.690,8.214,3.726,4.748,0.577,2.118,104.753,3.644,2.084,0.589,0.878,0.145,1.656,0.586,3.162,78.407,17.627,6.432,0.531,2.644,0.911,8.116
477.016,1.660,5.077,38.367,13.320,0.275,3.240,5.445,0.115,7.518,0.937,1.659,0.181,0.079,1.896,1.055,43.682,1.342,3.999,126.087,260.848,0.663,0.749,1.390,19.217
8.010,1.705,0.350,3.524,0.254,0.971,1.810,0.106,0.473,1.612,2.703,7.737,0.698,2.352,0.503,0.678,3.652,-0.576,11.750,2.828,1.539,4.566,-1.433,0.007,202.114
458.208,2.981,0.851,2.305,8.158,0.717,2.425,1.870,0.330,15.763,2.930,109.887,2.564,0.221,2.441,4.715,55.478,1.583,21.604,19.273,8.169,7.862,34.293,2.521,177.219
57.978,4.684,0.601,1.606,8.300,0.387,3.585,1.612,1.609,5.430,0.556,29.838,0.281,0.149,0.234,0.409,4.002,0.475,7.067,8.503,5.971,0.915,4.429,0.828,60.856
115.009,2.471,2.531,7.429,13.855,0.486,4.282,0.927,1.018,33.895,1.969,67.457,1.570,0.139,5.442,0.713,11.480,1.730,8.628,13.375,8.879,21.631,117.342,3.079,87.363
593.706,3.388,0.880,10.337,15.843,0.690,15.172,2.135,0.281,48.931,1.033,110.318,0.523,0.201,0.512,7.010,20.231,2.446,122.612,52.489,12.922,19.077,76.526,2.226,143.173
313.021,2.781,0.595,8.468,8.081,0.453,9.178,1.639,0.185,11.295,2.013,61.461,0.340,0.132,1.135,0.914,21.755,1.148,14.868,12.417,21.120,13.604,81.996,2.835,89.676
157.672,2.253,0.620,1.863,9.395,0.747,12.422,0.803,0.329,11.051,1.095,46.761,0.564,5.151,4.144,5.754,6.574,0.680,37.042,22.387,11.065,5.821,18.430,0.836,26.193
139.364,1.737,0.426,5.049,7.543,0.334,1.564,1.272,0.138,10.438,0.495,10.135,0.249,0.105,4.068,1.609,1.035,3.235,12.689,28.000,12.680,19.512,19.471,4.058,16.070
